As of 2020-04-22 01:12:35, r00t f0lds is rank 414
   with 25,916 work units for 518,116,112 credits
119. SteveC                        0.01%       40,231 (units:     8)
120. decius615                     0.01%       39,689 (units:    63)
121. tapril                        0.01%       38,775 (units:    22)
122. ObiWom_Kenobi                 0.01%       37,364 (units:    48)
123. Kirjis                        0.01%       30,738 (units:    39)
124. Doctor_413_Who                0.01%       29,922 (units:    38)
125. TG                            0.01%       29,800 (units:     2)
126. bdwaldrop                     0.01%       29,515 (units:    16)
127. RandyNose                     0.01%       28,787 (units:    34)
128. padzero                       0.01%       26,020 (units:    19)
129. Racerx4Anonymous              0.00%       25,436 (units:    41)
130. B0uNc3R                       0.00%       25,424 (units:    41)
131. silksnep                      0.00%       24,366 (units:    20)
132. Space_Rogue                   0.00%       22,643 (units:    14)
133. Irr3L3vant                    0.00%       21,817 (units:    29)
134. mudge                         0.00%       17,052 (units:     4)
135. gigabuck                      0.00%       16,958 (units:     3)
136. pixelpaperyarn                0.00%       15,963 (units:    22)
137. Artimage                      0.00%       15,685 (units:    29)
138. theaj42                       0.00%       14,923 (units:    10)
139.                               0.00%       14,031 (units:     8)
140. elodiemirza                   0.00%       12,948 (units:    16)
141.                               0.00%       12,518 (units:    16)
142. jobe                          0.00%       12,464 (units:     7)
143. MahatmaCrond                  0.00%       11,921 (units:    13)
144. Batz                          0.00%       11,567 (units:    20)
145. SenorWatsonSan                0.00%       11,504 (units:    22)
146. Slagar                        0.00%       11,381 (units:     5)
147. Demonseed_Elite               0.00%       10,104 (units:     5)
148. n0x                           0.00%        9,858 (units:     2)
149. comrade_eevee                 0.00%        9,405 (units:     1)
150. r                             0.00%        9,405 (units:     1)
151. dewke                         0.00%        7,463 (units:    22)
152. dxjones                       0.00%        6,942 (units:    10)
153. socketwench                   0.00%        6,485 (units:     9)
154. Professor                     0.00%        6,455 (units:    22)
155. Chris_Allan                   0.00%        6,056 (units:    11)
156. Syrinx                        0.00%        5,984 (units:     6)
157. shellkr                       0.00%        5,571 (units:     8)
158. Mikaela                       0.00%        5,352 (units:     9)
159. HomeySan                      0.00%        5,256 (units:    10)
160. XfavataX                      0.00%        5,200 (units:     4)
161. The_Game                      0.00%        4,845 (units:     9)
162.                               0.00%        4,823 (units:    10)
163. Bellum                        0.00%        4,570 (units:     2)
164.                               0.00%        3,886 (units:     2)
165. electric.glowing.surf/        0.00%        3,634 (units:     6)
166. trashp4nda                    0.00%        3,560 (units:     2)
167. jmarquith7e0                  0.00%        3,289 (units:     4)
168. dethveggie                    0.00%        3,258 (units:     5)
169. elbean                        0.00%        3,155 (units:     6)
170. claudiom                      0.00%        2,797 (units:    13)
171. luisuribe                     0.00%        2,642 (units:     5)
172. poncio                        0.00%        2,426 (units:     3)
173. waltman                       0.00%        2,372 (units:     5)
174. SupersonicMikeD               0.00%        2,371 (units:     5)
175. EvilPacket                    0.00%        2,062 (units:     3)
176. SmplTyoma                     0.00%        1,377 (units:     3)
177. Undaunted                     0.00%        1,220 (units:     2)
178. ScottF                        0.00%          980 (units:     2)
179. Sp4rky                        0.00%          900 (units:     1)
180. metaproject                   0.00%          700 (units:     1)
181. scr1pt3y                      0.00%          693 (units:     2)
182. algorythm                     0.00%          596 (units:     2)
183. st0ner                        0.00%          590 (units:     1)
184.                               0.00%          532 (units:     2)
185. Dom0                          0.00%          525 (units:     1)
186. ziraffa                       0.00%          501 (units:     1)
187. obscure                       0.00%          469 (units:     4)
188. zwickertone                   0.00%          250 (units:     2)
189. Hacked_Gibson                 0.00%          243 (units:     1)
190. Smokingheart                  0.00%           41 (units:     1)
191. ReverendGonzo                 0.00%            4 (units:     4)
